db,size,operation,avg_ms
cassandra,10000,CREATE,2718.641666666667
cassandra,10000,DELETE,4095.8513333333326
cassandra,10000,READ,335.85033333333337
cassandra,10000,UPDATE,1205.977
cassandra,100000,CREATE,2574.3546666666666
cassandra,100000,DELETE,3748.5226666666663
cassandra,100000,READ,313.67733333333337
cassandra,100000,UPDATE,1298.6646666666666
cassandra,1000000,CREATE,2546.2786666666666
cassandra,1000000,DELETE,3511.587
cassandra,1000000,READ,331.57099999999997
cassandra,1000000,UPDATE,1228.4016666666666
mariadb,10000,CREATE,45.810333333333325
mariadb,10000,DELETE,25.116333333333333
mariadb,10000,READ,873.0876666666667
mariadb,10000,UPDATE,20.407
mariadb,100000,CREATE,34.75966666666667
mariadb,100000,DELETE,28.451333333333334
mariadb,100000,READ,886.8223333333334
mariadb,100000,UPDATE,18.017666666666667
mariadb,1000000,CREATE,35.986
mariadb,1000000,DELETE,22.24366666666667
mariadb,1000000,READ,841.7453333333333
mariadb,1000000,UPDATE,16.416333333333334
mongodb,10000,CREATE,25.763333333333335
mongodb,10000,DELETE,68.90633333333334
mongodb,10000,READ,1090.844
mongodb,10000,UPDATE,16.49866666666667
mongodb,100000,CREATE,15.354666666666667
mongodb,100000,DELETE,82.19133333333333
mongodb,100000,READ,864.7656666666667
mongodb,100000,UPDATE,25.81566666666667
mongodb,1000000,CREATE,16.206999999999997
mongodb,1000000,DELETE,85.003
mongodb,1000000,READ,920.1183333333333
mongodb,1000000,UPDATE,20.496666666666666
postgres,10000,CREATE,965.9423333333334
postgres,10000,DELETE,110.46866666666666
postgres,10000,READ,136.96666666666667
postgres,10000,UPDATE,40.86333333333334
postgres,100000,CREATE,922.8743333333333
postgres,100000,DELETE,117.21966666666668
postgres,100000,READ,93.05533333333334
postgres,100000,UPDATE,52.97566666666666
postgres,1000000,CREATE,993.6210000000001
postgres,1000000,DELETE,64.02633333333334
postgres,1000000,READ,49.804
postgres,1000000,UPDATE,30.801333333333332
